frame,t,zone,n_obs,status,x,y,theta_deg,dist_plate,car_emblem,door_handle,fuel_cap,license_plate,side_mirror,tail_light
253,8.43,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
254,8.47,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
255,8.5,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
256,8.53,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
257,8.57,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
258,8.6,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
259,8.63,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
260,8.67,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
261,8.7,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
262,8.73,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
263,8.77,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
264,8.8,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
265,8.83,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
266,8.87,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
267,8.9,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
268,8.93,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
269,8.97,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
270,9.0,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
271,9.03,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
272,9.07,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
273,9.1,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
274,9.13,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
275,9.17,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
276,9.2,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
277,9.23,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
278,9.27,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
279,9.3,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
280,9.33,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
281,9.37,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
282,9.4,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
283,9.43,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
284,9.47,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
285,9.5,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
286,9.53,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
287,9.57,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
288,9.6,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
289,9.63,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
290,9.67,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
291,9.7,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
292,9.73,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
293,9.77,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
294,9.8,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
295,9.83,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
296,9.87,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
297,9.9,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
298,9.93,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
299,9.97,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
300,10.0,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
301,10.03,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
302,10.07,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
303,10.1,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
304,10.13,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
305,10.17,측면,3,track(3),-1.059,-2.61,43.9,,0,2,0,0,1,0
306,10.2,측면,3,track(3),-1.061,-2.61,44.1,,0,2,0,0,1,0
307,10.23,측면,3,track(3),-1.064,-2.611,44.1,,0,2,0,0,1,0
308,10.27,측면,3,track(3),-1.068,-2.613,44.1,,0,2,0,0,1,0
309,10.3,측면,3,track(3),-1.072,-2.614,44.1,,0,2,0,0,1,0
310,10.33,측면,3,track(3),-1.077,-2.615,44.1,,0,2,0,0,1,0
311,10.37,측면,3,track(3),-1.082,-2.616,44.1,,0,2,0,0,1,0
312,10.4,측면,3,track(3),-1.087,-2.618,44.1,,0,2,0,0,1,0
313,10.43,측면,3,track(3),-1.093,-2.619,44.0,,0,2,0,0,1,0
314,10.47,측면,3,track(3),-1.099,-2.62,44.0,,0,2,0,0,1,0
315,10.5,측면,3,track(3),-1.103,-2.621,44.2,,0,2,0,0,1,0
316,10.53,측면,3,track(3),-1.106,-2.622,44.4,,0,2,0,0,1,0
317,10.57,측면,3,track(3),-1.108,-2.621,44.6,,0,2,0,0,1,0
